TiempoKey,Fecha,Mes,Dia,Anio
837,2019-04-17,4,17,2019
838,2019-04-18,4,18,2019
839,2019-04-19,4,19,2019
840,2019-04-20,4,20,2019
841,2019-04-21,4,21,2019
842,2019-04-22,4,22,2019
843,2019-04-23,4,23,2019
844,2019-04-24,4,24,2019
845,2019-04-25,4,25,2019
846,2019-04-26,4,26,2019
847,2019-04-27,4,27,2019
848,2019-04-28,4,28,2019
849,2019-04-29,4,29,2019
850,2019-04-30,4,30,2019
851,2019-05-01,5,1,2019
852,2019-05-02,5,2,2019
853,2019-05-03,5,3,2019
854,2019-05-04,5,4,2019
855,2019-05-05,5,5,2019
856,2019-05-06,5,6,2019
857,2019-05-07,5,7,2019
858,2019-05-08,5,8,2019
859,2019-05-09,5,9,2019
860,2019-05-10,5,10,2019
861,2019-05-11,5,11,2019
862,2019-05-12,5,12,2019
863,2019-05-13,5,13,2019
864,2019-05-14,5,14,2019
865,2019-05-15,5,15,2019
